id,district_id/id,name,zip
nstda_ccsc_m_tambol_1,nstda_ccsc_m_eamphur_1,ต.เชียงดาว,50170
nstda_ccsc_m_tambol_2,nstda_ccsc_m_eamphur_1,ต.เมืองคอง,50170
nstda_ccsc_m_tambol_3,nstda_ccsc_m_eamphur_1,ต.เมืองงาย,50170
nstda_ccsc_m_tambol_4,nstda_ccsc_m_eamphur_1,ต.เมืองนะ,50170
nstda_ccsc_m_tambol_5,nstda_ccsc_m_eamphur_1,ต.แม่นะ,50170
nstda_ccsc_m_tambol_6,nstda_ccsc_m_eamphur_1,ต.ทุ่งข้าวพวง,50170
nstda_ccsc_m_tambol_7,nstda_ccsc_m_eamphur_1,ต.ปิงโค้ง,50170
nstda_ccsc_m_tambol_8,nstda_ccsc_m_eamphur_2,ต.แม่เหียะ,50100
nstda_ccsc_m_tambol_9,nstda_ccsc_m_eamphur_2,ต.ช้างเผือก,50300
nstda_ccsc_m_tambol_10,nstda_ccsc_m_eamphur_2,ต.ช้างคลาน,50100
nstda_ccsc_m_tambol_11,nstda_ccsc_m_eamphur_2,ต.ช้างม่อย,50300
nstda_ccsc_m_tambol_12,nstda_ccsc_m_eamphur_2,ต.ท่าศาลา,50000
nstda_ccsc_m_tambol_13,nstda_ccsc_m_eamphur_2,ต.ป่าแดด,50100
nstda_ccsc_m_tambol_14,nstda_ccsc_m_eamphur_2,ต.ป่าตัน,50300
nstda_ccsc_m_tambol_15,nstda_ccsc_m_eamphur_2,ต.พระสิงห์,50200
nstda_ccsc_m_tambol_16,nstda_ccsc_m_eamphur_2,ต.ฟ้าฮ่าม,50000
nstda_ccsc_m_tambol_17,nstda_ccsc_m_eamphur_2,ต.วัดเกต,50000
nstda_ccsc_m_tambol_18,nstda_ccsc_m_eamphur_2,ต.ศรีภูมิ,50200
nstda_ccsc_m_tambol_19,nstda_ccsc_m_eamphur_2,ต.สันผีเสื้อ,50300
nstda_ccsc_m_tambol_20,nstda_ccsc_m_eamphur_2,ต.สุเทพ,50200
nstda_ccsc_m_tambol_21,nstda_ccsc_m_eamphur_2,ต.หนองป่าครั่ง,50000
nstda_ccsc_m_tambol_22,nstda_ccsc_m_eamphur_2,ต.หนองหอย,50000
nstda_ccsc_m_tambol_23,nstda_ccsc_m_eamphur_2,ต.หายยา,50100
nstda_ccsc_m_tambol_24,nstda_ccsc_m_eamphur_3,ต.เปียงหลวง,50350
nstda_ccsc_m_tambol_25,nstda_ccsc_m_eamphur_3,ต.เมืองแหง,50350
nstda_ccsc_m_tambol_26,nstda_ccsc_m_eamphur_3,ต.แสนไห,50350
nstda_ccsc_m_tambol_27,nstda_ccsc_m_eamphur_4,ต.แม่นาจร,50270
nstda_ccsc_m_tambol_28,nstda_ccsc_m_eamphur_4,ต.แม่ศึก,50270
nstda_ccsc_m_tambol_29,nstda_ccsc_m_eamphur_4,ต.กองแขก,50270
nstda_ccsc_m_tambol_30,nstda_ccsc_m_eamphur_4,ต.ช่างเคิ่ง,50270
nstda_ccsc_m_tambol_31,nstda_ccsc_m_eamphur_4,ต.ท่าผา,50270
nstda_ccsc_m_tambol_32,nstda_ccsc_m_eamphur_4,ต.บ้านทับ,50270
nstda_ccsc_m_tambol_33,nstda_ccsc_m_eamphur_4,ต.ปางหินฝน,50270
nstda_ccsc_m_tambol_34,nstda_ccsc_m_eamphur_5,ต.เมืองก๋าย,50150
nstda_ccsc_m_tambol_35,nstda_ccsc_m_eamphur_5,ต.แม่แตง,50150
nstda_ccsc_m_tambol_36,nstda_ccsc_m_eamphur_5,ต.แม่หอพระ,50150
nstda_ccsc_m_tambol_37,nstda_ccsc_m_eamphur_5,ต.กื้ดช้าง,50150
nstda_ccsc_m_tambol_38,nstda_ccsc_m_eamphur_5,ต.ขี้เหล็ก,50150
nstda_ccsc_m_tambol_39,nstda_ccsc_m_eamphur_5,ต.ช่อแล,50150
nstda_ccsc_m_tambol_40,nstda_ccsc_m_eamphur_5,ต.บ้านเป้า,50150
nstda_ccsc_m_tambol_41,nstda_ccsc_m_eamphur_5,ต.บ้านช้าง,50150
nstda_ccsc_m_tambol_42,nstda_ccsc_m_eamphur_5,ต.ป่าแป๋,50150
nstda_ccsc_m_tambol_43,nstda_ccsc_m_eamphur_5,ต.สบเปิง,50150
nstda_ccsc_m_tambol_44,nstda_ccsc_m_eamphur_5,ต.สมก๋าย,50150
nstda_ccsc_m_tambol_45,nstda_ccsc_m_eamphur_5,ต.สันป่ายาง,50330
nstda_ccsc_m_tambol_46,nstda_ccsc_m_eamphur_5,ต.สันมหาพน,50150
nstda_ccsc_m_tambol_47,nstda_ccsc_m_eamphur_5,ต.อินทขิล,50150
nstda_ccsc_m_tambol_48,nstda_ccsc_m_eamphur_6,ต.เหมืองแก้ว,50180
nstda_ccsc_m_tambol_49,nstda_ccsc_m_eamphur_6,ต.แม่แรม,50180
nstda_ccsc_m_tambol_50,nstda_ccsc_m_eamphur_6,ต.แม่สา,50180
nstda_ccsc_m_tambol_51,nstda_ccsc_m_eamphur_6,ต.โป่งแยง,50180
nstda_ccsc_m_tambol_52,nstda_ccsc_m_eamphur_6,ต.ขี้เหล็ก,50180
nstda_ccsc_m_tambol_53,nstda_ccsc_m_eamphur_6,ต.ดอนแก้ว,50180
nstda_ccsc_m_tambol_54,nstda_ccsc_m_eamphur_6,ต.ริมเหนือ,50180
nstda_ccsc_m_tambol_55,nstda_ccsc_m_eamphur_6,ต.ริมใต้,50180
nstda_ccsc_m_tambol_56,nstda_ccsc_m_eamphur_6,ต.สะลวง,50330
nstda_ccsc_m_tambol_57,nstda_ccsc_m_eamphur_6,ต.สันโป่ง,50180
nstda_ccsc_m_tambol_58,nstda_ccsc_m_eamphur_6,ต.ห้วยทราย,50180
nstda_ccsc_m_tambol_59,nstda_ccsc_m_eamphur_7,ต.แม่วิน,50360
nstda_ccsc_m_tambol_60,nstda_ccsc_m_eamphur_7,ต.ดอนเปา,50360
nstda_ccsc_m_tambol_61,nstda_ccsc_m_eamphur_7,ต.ทุ่งปี๊,50360
nstda_ccsc_m_tambol_62,nstda_ccsc_m_eamphur_7,ต.ทุ่งรวงทอง,50360
nstda_ccsc_m_tambol_63,nstda_ccsc_m_eamphur_7,ต.บ้านกาด,50360
nstda_ccsc_m_tambol_64,nstda_ccsc_m_eamphur_8,ต.แม่ทา,50130
nstda_ccsc_m_tambol_65,nstda_ccsc_m_eamphur_8,ต.ทาเหนือ,50130
nstda_ccsc_m_tambol_66,nstda_ccsc_m_eamphur_8,ต.บ้านสหกรณ์,50130
nstda_ccsc_m_tambol_67,nstda_ccsc_m_eamphur_8,ต.ห้วยแก้ว,50130
nstda_ccsc_m_tambol_68,nstda_ccsc_m_eamphur_8,ต.ออนเหนือ,50130
nstda_ccsc_m_tambol_69,nstda_ccsc_m_eamphur_8,ต.ออนกลาง,50130
nstda_ccsc_m_tambol_70,nstda_ccsc_m_eamphur_9,ต.แม่นาวาง,50280
nstda_ccsc_m_tambol_71,nstda_ccsc_m_eamphur_9,ต.แม่สาว,50280
nstda_ccsc_m_tambol_72,nstda_ccsc_m_eamphur_9,ต.แม่อาย,50280
nstda_ccsc_m_tambol_73,nstda_ccsc_m_eamphur_9,ต.ท่าตอน,50280
nstda_ccsc_m_tambol_74,nstda_ccsc_m_eamphur_9,ต.บ้านหลวง,50280
nstda_ccsc_m_tambol_75,nstda_ccsc_m_eamphur_9,ต.มะลิกา,50280
nstda_ccsc_m_tambol_76,nstda_ccsc_m_eamphur_9,ต.สันต้นหมื้อ,50280
nstda_ccsc_m_tambol_77,nstda_ccsc_m_eamphur_10,ต.แม่ทะลบ,50320
nstda_ccsc_m_tambol_78,nstda_ccsc_m_eamphur_10,ต.ปงตำ,50320
nstda_ccsc_m_tambol_79,nstda_ccsc_m_eamphur_10,ต.ศรีดงเย็น,50320
nstda_ccsc_m_tambol_80,nstda_ccsc_m_eamphur_10,ต.หนองบัว,50320
nstda_ccsc_m_tambol_81,nstda_ccsc_m_eamphur_11,ต.แจ่มหลวง,58130
nstda_ccsc_m_tambol_82,nstda_ccsc_m_eamphur_11,ต.แม่แดด,58130
nstda_ccsc_m_tambol_83,nstda_ccsc_m_eamphur_11,ต.บ้านจันทร์,58130
nstda_ccsc_m_tambol_84,nstda_ccsc_m_eamphur_12,ต.แม่สอย,50240
nstda_ccsc_m_tambol_85,nstda_ccsc_m_eamphur_12,ต.ข่วงเปา,50160
nstda_ccsc_m_tambol_86,nstda_ccsc_m_eamphur_12,ต.ดอยแก้ว,50160
nstda_ccsc_m_tambol_87,nstda_ccsc_m_eamphur_12,ต.บ้านแปะ,50240
nstda_ccsc_m_tambol_88,nstda_ccsc_m_eamphur_12,ต.บ้านหลวง,50160
nstda_ccsc_m_tambol_89,nstda_ccsc_m_eamphur_12,ต.สบเตี๊ยะ,50160
nstda_ccsc_m_tambol_90,nstda_ccsc_m_eamphur_13,ต.โปงทุ่ง,50260
nstda_ccsc_m_tambol_91,nstda_ccsc_m_eamphur_13,ต.ดอยเต่า,50260
nstda_ccsc_m_tambol_92,nstda_ccsc_m_eamphur_13,ต.ท่าเดื่อ,50260
nstda_ccsc_m_tambol_93,nstda_ccsc_m_eamphur_13,ต.บงตัน,50260
nstda_ccsc_m_tambol_94,nstda_ccsc_m_eamphur_13,ต.บ้านแอ่น,50260
nstda_ccsc_m_tambol_95,nstda_ccsc_m_eamphur_13,ต.มืดกา,50260
nstda_ccsc_m_tambol_96,nstda_ccsc_m_eamphur_14,ต.เชิงดอย,50220
nstda_ccsc_m_tambol_97,nstda_ccsc_m_eamphur_14,ต.เทพเสด็จ,50220
nstda_ccsc_m_tambol_98,nstda_ccsc_m_eamphur_14,ต.แม่โป่ง,50220
nstda_ccsc_m_tambol_99,nstda_ccsc_m_eamphur_14,ต.แม่คือ,50220
nstda_ccsc_m_tambol_100,nstda_ccsc_m_eamphur_14,ต.แม่ฮ้อยเงิน,50220
nstda_ccsc_m_tambol_101,nstda_ccsc_m_eamphur_14,ต.ตลาดใหญ่,50220
nstda_ccsc_m_tambol_102,nstda_ccsc_m_eamphur_14,ต.ตลาดขวัญ,50220
nstda_ccsc_m_tambol_103,nstda_ccsc_m_eamphur_14,ต.ป่าเมี่ยง,50220
nstda_ccsc_m_tambol_104,nstda_ccsc_m_eamphur_14,ต.ป่าป้อง,50220
nstda_ccsc_m_tambol_105,nstda_ccsc_m_eamphur_14,ต.ป่าลาน,50220
nstda_ccsc_m_tambol_106,nstda_ccsc_m_eamphur_14,ต.ลวงเหนือ,50220
nstda_ccsc_m_tambol_107,nstda_ccsc_m_eamphur_14,ต.สง่าบ้าน,50220
nstda_ccsc_m_tambol_108,nstda_ccsc_m_eamphur_14,ต.สันปูเลย,50220
nstda_ccsc_m_tambol_109,nstda_ccsc_m_eamphur_14,ต.สำราญราษฎร์,50220
nstda_ccsc_m_tambol_110,nstda_ccsc_m_eamphur_15,ต.ดอยหล่อ,50160
nstda_ccsc_m_tambol_111,nstda_ccsc_m_eamphur_15,ต.ยางคราม,50160
nstda_ccsc_m_tambol_112,nstda_ccsc_m_eamphur_15,ต.สองแคว,50160
